nome	idomas	periodoTrabalho	salarioReal	areaAtuacao	modeloContratacao	medio_g1	tecnico_g1	superior_g1	concluido	pos_g1	curriculo	valeAlimentacao	valeRefeicao	tempoExperienciaAnos	cidade	bairro	gestor_g1	numVagas
0	0	8	1000.0	0	1	1	0	0	0	0	0	-1.0	-1.0	0.0	1	0	1	1
0	0	8	1000.0	0	1	1	0	0	0	0	0	-1.0	-1.0	0.0	2	0	1	1
0	0	8	1000.0	0	1	1	0	0	0	0	0	-1.0	-1.0	0.0	3	1	1	1
1	0	8	0.0	1	1	0	0	1	1	0	0	-1.0	-1.0	2.0	3	0	2	1
2	0	8	1500.0	1	1	0	0	1	0	0	1	0.0	396.0	1.0	3	0	3	1
3	0	8	2500.0	0	1	0	0	1	1	0	1	0.0	537.0	2.0	2	0	4	1
4	0	8	3500.0	1	1	0	0	1	0	0	1	19.0	19.0	2.0	4	2	5	1
5	0	8	1300.0	0	1	0	0	1	0	0	1	0.0	0.0	0.0	3	3	6	1
3	0	8	2500.0	1	1	1	0	0	0	0	1	0.0	320.0	-1.0	3	4	7	1
6	0	8	0.0	0	1	0	0	1	0	0	0	-1.0	-1.0	-1.0	5	0	8	1
7	0	8	1500.0	1	1	1	0	0	0	0	1	0.0	0.0	-1.0	3	5	9	1
8	0	8	50000.0	0	2	0	0	1	0	0	1	0.0	0.0	1.0	3	6	10	3
9	0	8	2300.0	1	1	0	0	1	1	0	1	0.0	506.0	2.0	3	7	11	1
10	0	0	4200.0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	3	0	12	1
10	0	0	4200.0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	3	0	12	1
4	0	8	3500.0	1	1	0	0	1	0	0	1	19.0	19.0	2.0	4	2	5	1
11	0	8	10000.0	0	1	0	0	1	1	0	0	0.0	0.0	-1.0	3	8	13	1
10	0	0	4200.0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	3	0	12	1
12	0	8	4000.0	1	1	0	0	1	1	0	1	500.0	500.0	-1.0	3	9	14	3
10	0	0	4200.0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	3	0	12	1
10	0	0	4200.0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	3	0	12	1
10	0	0	4200.0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	3	0	12	1
10	0	8	3600.0	0	1	1	0	0	0	0	1	0.0	504.0	-1.0	3	0	15	1
10	0	0	4200.0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	3	0	12	1
10	0	0	4200.0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	3	0	12	1
10	0	0	4200.0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	3	0	12	1
13	2	8	10000.0	0	1	0	0	1	1	0	1	0.0	20.0	15.0	6	0	16	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
14	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	0	17	1
15	0	8	1000.0	1	1	-1	-1	-1	-1	-1	1	0.0	0.0	4.0	3	0	8	1
16	0	6	0.0	0	0	0	0	1	0	0	0	-1.0	-1.0	-1.0	0	0	8	1
17	0	4	1300.0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	7	0	8	1
18	0	8	0.0	0	3	0	0	1	1	0	0	0.0	0.0	1.0	3	1	18	1
19	0	8	1400.0	0	1	1	0	0	0	0	1	0.0	484.0	1.0	3	10	19	1
20	0	8	0.0	0	1	1	0	0	0	0	1	-1.0	-1.0	5.0	8	11	20	1
21	0	8	1000.0	0	1	1	0	0	0	0	1	0.0	360.0	-1.0	3	10	21	1
22	0	8	0.0	0	4	1	0	0	0	0	1	-1.0	-1.0	2.0	8	11	20	2
23	0	8	0.0	1	1	0	0	0	0	0	0	-1.0	-1.0	-1.0	9	0	22	1
24	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	12	23	1
25	0	8	5000.0	0	1	0	0	1	1	0	1	203.0	0.0	-1.0	3	13	24	1
26	0	8	1208.0	0	1	1	0	0	0	0	1	0.0	0.0	-1.0	3	14	25	1
27	0	8	7000.0	0	1	0	0	1	1	0	1	-1.0	-1.0	-1.0	3	15	26	1
19	0	8	0.0	0	2	0	0	1	0	0	1	-1.0	-1.0	0.0	3	8	27	1
28	2	8	5000.0	0	1	1	0	0	0	0	1	0.0	0.0	2.0	3	0	28	1
29	0	8	2850.0	0	1	0	0	1	0	0	0	0.0	500.0	3.0	3	16	29	2
29	0	8	2850.0	0	1	0	0	1	0	0	0	0.0	500.0	3.0	3	16	29	1
30	0	8	1300.0	0	1	1	0	0	0	0	0	0.0	500.0	2.0	3	16	29	1
31	0	8	1500.0	0	1	0	0	1	1	0	1	0.0	500.0	3.0	3	16	29	1
3	0	8	2500.0	0	1	0	0	1	1	0	1	0.0	537.0	2.0	4	0	4	1
32	0	8	2000.0	0	1	0	0	1	1	0	1	-1.0	-1.0	-1.0	10	0	30	1
10	0	8	4000.0	0	1	0	0	1	1	0	1	-1.0	-1.0	-1.0	10	0	30	1
33	0	8	2500.0	0	1	0	0	1	1	0	1	-1.0	-1.0	-1.0	11	0	30	1
10	0	8	4000.0	0	1	0	0	1	1	0	0	0.0	0.0	-1.0	12	0	30	1
34	0	8	1700.0	1	1	0	0	1	1	0	0	0.0	395.0	1.0	13	17	31	1
35	2	6	880.0	0	1	0	0	0	0	0	0	0.0	200.0	1.0	13	17	31	1
36	2	8	3500.0	0	1	0	0	1	0	0	0	0.0	650.0	2.0	13	17	31	1
37	0	8	0.0	0	1	1	0	0	0	0	0	-1.0	-1.0	0.0	3	0	16	1
38	1	6	1500.0	0	3	0	0	1	0	0	1	0.0	0.0	0.0	3	18	32	1
3	0	8	2500.0	0	1	0	0	1	1	0	1	0.0	537.0	2.0	14	0	4	1
3	0	8	2500.0	0	1	0	0	1	1	0	1	0.0	537.0	2.0	15	0	4	1
3	0	8	2500.0	0	1	0	0	1	1	0	1	0.0	537.0	2.0	16	0	4	1
3	0	8	2500.0	0	1	0	0	1	0	0	1	0.0	537.0	2.0	17	0	4	1
3	0	8	2500.0	0	1	0	0	1	0	0	0	0.0	537.0	2.0	5	0	4	1
39	2	8	1400.0	1	1	1	0	0	0	0	0	0.0	105.0	1.0	3	19	33	1
40	0	8	6000.0	0	1	0	0	1	1	0	1	0.0	320.0	-1.0	3	0	34	1
41	0	8	0.0	1	1	1	0	0	0	0	1	-1.0	-1.0	-1.0	3	0	35	1
42	0	8	0.0	0	1	1	0	0	0	0	0	-1.0	-1.0	-1.0	3	0	35	1
41	0	8	0.0	0	1	1	0	0	0	0	0	-1.0	-1.0	-1.0	3	0	35	1
41	0	8	3000.0	0	1	1	0	0	0	0	1	0.0	210.0	-1.0	3	0	35	1
43	0	8	0.0	0	2	1	0	0	0	0	1	-1.0	-1.0	-1.0	3	1	36	1
44	0	8	2000.0	0	2	1	0	0	0	0	1	0.0	0.0	-1.0	3	18	37	1
31	0	8	1351.68	0	1	1	0	0	0	0	1	0.0	500.0	-1.0	3	3	38	1
45	0	6	2000.0	0	3	0	0	1	0	0	1	0.0	25.0	-1.0	3	1	39	1
46	2	8	1410.0	0	1	1	0	0	0	0	1	0.0	0.0	1.0	0	0	40	1
47	2	8	1400.0	0	1	1	0	0	0	0	1	0.0	0.0	1.0	0	0	41	1
42	2	8	1000.0	0	1	1	0	0	0	0	0	0.0	0.0	1.0	3	0	16	1
48	0	6	1488.0	2	3	0	0	1	0	0	1	0.0	0.0	-1.0	13	20	42	1
41	2	8	2000.0	0	1	0	0	1	0	0	0	200.0	400.0	1.0	3	11	16	1
49	2	8	3000.0	1	1	0	0	1	1	0	0	0.0	400.0	2.0	3	21	19	1
10	0	8	4000.0	0	1	0	0	1	1	0	1	0.0	0.0	-1.0	9	0	43	1
50	0	8	1000.0	1	1	0	0	0	0	0	0	0.0	1800.0	-1.0	3	11	44	1
51	0	4	600.0	0	3	0	0	1	0	0	1	0.0	0.0	-1.0	3	22	45	1
52	0	8	2000.0	0	1	0	0	1	0	0	1	50.0	240.0	-1.0	3	23	46	1
53	0	4	0.0	0	1	1	0	0	0	0	0	-1.0	-1.0	-1.0	3	0	47	1
54	0	8	1248.0	0	1	1	0	0	0	0	1	-1.0	-1.0	-1.0	3	11	48	1
55	0	6	1825.0	0	3	0	0	1	0	0	1	0.0	0.0	-1.0	3	24	49	1
54	0	8	1200.0	0	1	1	0	0	0	0	0	0.0	0.0	-1.0	18	11	50	2
54	0	8	1200.0	0	1	1	0	0	0	0	1	0.0	0.0	-1.0	19	11	50	1
10	0	8	4000.0	0	1	0	0	1	1	0	0	0.0	0.0	-1.0	20	0	30	1
56	0	8	4000.0	0	1	1	0	0	0	0	1	0.0	0.0	-1.0	21	11	30	1
57	0	6	1033.0	0	1	1	0	0	0	0	0	-1.0	-1.0	-1.0	3	21	51	1
58	0	8	2800.0	0	1	0	0	1	1	0	1	-1.0	320.0	-1.0	3	25	52	1
59	0	8	3784.0	0	1	0	0	1	1	0	1	0.0	15.0	-1.0	13	0	53	1
